Anno	Codice	PuntoV	Imponibile	Iva	Totale	Contanti	Carta	Tickets	Assegni	Altro	Sospesi	Perdite
2025	3	1	3222	234.05	3456.05	1658.54	916.05	0	0	881.46	0	0
2025	3	2	748	74.8	822.8	708.8	114	0	0	0	0	0
2025	4	1	2610.69	204.51	2815.2	1344.4	905.2	0	0	565.6	0	0
2025	4	2	1111.09	111.11	1222.2	1127	95	0	0	0	0	0.2
2025	5	1	2714.76	186.54	2901.3	1170.6	881.3	0	0	849.4	0	0
2025	5	2	872.27	87.23	959.5	779.5	180	0	0	0	0	0
2025	6	1	1232.15	98.75	1330.9	645.3	440.9	0	0	244.7	0	0
2025	6	2	358.18	35.82	394	314.49	79.5	0	0	0	0	0.01
2025	7	1	1099.55	83.72	1183.27	494.8	426.1	0	0	262.37	0	0
2025	7	2	380.02	38	418.02	347.5	70	0	0	0	0	0.52
2025	8	1	1266.2	102.58	1368.78	839.67	288.76	0	0	240.35	0	0
2025	8	2	393.37	39.34	432.71	373.5	59	0	0	0	0	0.21
2025	9	1	1215.22	111.58	1326.8	1227.4	0	0	0	99.4	0	0
2025	9	2	308.56	30.86	339.42	339.1	0	0	0	0	0	0.32
2025	10	1	2749.19	202.11	2951.3	1051.87	1171.3	0	0	728.13	0	0
2025	10	2	758.36	75.84	834.2	715.75	118	0	0	0	0	0.45
2025	11	1	1536.65	132.56	1669.21	1134	324.21	0	0	211	0	0
2025	11	2	818.64	81.86	900.5	715.4	185	0	0	0	0	0.1
2025	12	1	1032.55	79.45	1112	576.92	297	0	0	238.08	0	0
2025	12	2	380.64	38.06	418.7	391.4	27	0	0	0	0	0.3
2025	13	1	939.52	70.26	1009.78	513.12	259.76	0	0	236.9	0	0
2025	13	2	386.73	38.67	425.4	384.5	40.9	0	0	0	0	0
2025	14	1	1234.91	71.89	1306.8	423.99	366.8	0	0	516.01	0	0
2025	14	2	363.82	36.38	400.2	322	77.7	0	0	0	0	0.5
2025	15	1	1138.28	64.22	1202.5	483.9	222.5	0	0	496.1	0	0
2025	15	2	382	38.2	420.2	359.8	60	0	0	0	0	0.4
2025	16	1	1021.6	76.8	1098.4	576.4	268.4	0	0	253.6	0	0
2025	16	2	504.82	50.48	555.3	425.63	129.5	0	0	0	0	0.17
2025	17	1	2373.22	205.92	2579.14	1301.75	963.34	0	0	314.05	0	0
2025	17	2	871.09	87.11	958.2	827.6	130.6	0	0	0	0	0
2025	18	1	1897.27	167.83	2065.1	1081.05	765.1	0	0	218.95	0	0
2025	18	2	913.27	91.33	1004.6	775.7	228	0	0	0	0	0.9
2025	19	1	815.77	52.23	868	361.5	213	0	0	293.5	0	0
2025	19	2	303.75	27.75	331.5	273.2	32.1	0	0	26.2	0	0
2025	20	1	1062.29	81.91	1144.2	706.79	194.2	0	0	243.21	0	0
2025	20	2	405.55	40.55	446.1	301.9	144	0	0	0	0	0.2
2025	21	1	1237.46	92.84	1330.3	590.9	430.3	0	0	309.1	0	0
2025	21	2	398.27	39.83	438.1	366.1	72	0	0	0	0	0
2025	22	1	1356.76	110.59	1467.35	769.15	447.35	0	0	250.85	0	0
2025	22	2	408.52	40.85	449.37	357.5	91	0	0	0	0	0.87
2025	23	1	1298.75	87.15	1385.9	597.8	360.9	0	0	427.2	0	0
2025	23	2	455.35	43.66	499.01	399.8	80.5	0	0	18.71	0	0
2025	24	1	2650.18	220.99	2871.17	1369.77	1061.17	0	0	440.23	0	0
2025	24	2	590.82	59.08	649.9	537.2	112	0	0	0	0	0.7
2025	25	1	2164.95	186.65	2351.6	1216.6	836.6	0	0	298.4	0	0
2025	25	2	921.96	92.2	1014.16	872.7	141	0	0	0	0	0.46
2025	26	1	1011.45	86.07	1097.52	613.22	333.52	0	0	150.78	0	0
2025	26	2	347	34.7	381.7	313.35	68	0	0	0	0	0.35
2025	27	1	880.44	65.88	946.32	563.4	161.32	0	0	221.6	0	0
2025	27	2	341.27	34.13	375.4	308.3	67	0	0	0	0	0.1
2025	28	1	1097.29	92.21	1189.5	634.8	379.5	0	0	175.2	0	0
2025	28	2	339.64	33.96	373.6	317.2	56.4	0	0	0	0	0
2025	29	1	1013.68	84.82	1098.5	629.5	303.5	0	0	165.5	0	0
2025	29	2	310.73	31.07	341.8	254	87.8	0	0	0	0	0
2025	30	1	1329.54	94.16	1423.7	552.1	483.7	0	0	387.9	0	0
2025	30	2	379.57	37.96	417.53	329.9	87.5	0	0	0	0	0.13
2025	31	1	2357.81	207.59	2565.4	1393.1	890.4	0	0	281.9	0	0
2025	31	2	824.31	82.43	906.74	711.25	195	0	0	0	0	0.49
2025	32	1	1624.78	132.92	1757.7	927.7	534.4	0	0	295.6	0	0
2025	32	2	901.45	90.15	991.6	840.9	150	0	0	0	0	0.7
2025	33	1	915.87	57.63	973.5	315.42	318.5	0	0	339.58	0	0
2025	33	2	470.55	47.05	517.6	400.7	116.5	0	0	0	0	0.4
2025	133	1	894.39	166.01	1060.4	720.8	199.8	0	0	139.8	0	0
2025	133	2	359.92	79.18	439.1	340.2	98.9	0	0	0	0	0
2025	134	1	1048.34	190.26	1238.6	601.5	453.6	0	0	183.5	0	0
2025	134	2	410.08	90.22	500.3	395.8	104	0	0	0	0	0.5
2025	135	1	2170.48	397.07	2567.55	1394.41	807.55	0	0	365.59	0	0
2025	135	2	703.85	154.85	858.7	561.35	297.35	0	0	0	0	0
2025	136	1	1313.57	231.23	1544.8	937.5	344.8	0	0	262.5	0	0
2025	136	2	497.05	109.35	606.4	471.7	134.5	0	0	0	0	0.2
2025	137	1	906.93	134.87	1041.8	286.1	461.8	0	0	293.9	0	0
2025	137	2	363.28	79.92	443.2	367.75	75	0	0	0	0	0.45
2025	138	1	992.17	139.48	1131.65	371.85	401.65	0	0	358.15	0	0
2025	138	2	303.69	66.81	370.5	321.65	41.85	0	0	0	0	7
2025	139	1	1095.07	196.73	1291.8	804.15	286.8	0	0	200.85	0	0
2025	139	2	345.16	75.94	421.1	325.2	95.9	0	0	0	0	0
2025	140	1	1130.05	174.55	1304.6	648.34	319.6	0	0	336.66	0	0
2025	140	2	300.66	66.14	366.8	310.8	56	0	0	0	0	0
2025	141	1	1405.14	285.66	1690.8	958.3	625.8	0	0	106.7	0	0
2025	141	2	429.59	94.51	524.1	382.3	141	0	0	0	0	0.8
2025	142	1	2054.89	384.16	2439.05	1291.28	839.05	0	0	308.72	0	0
2025	142	2	603.2	132.7	735.9	599.55	136.35	0	0	0	0	0
2025	143	1	2004.83	309.92	2314.75	1043.88	674.75	0	0	596.12	0	0
2025	143	2	726.48	159.82	886.3	713.45	172.85	0	0	0	0	0
2025	144	1	1039.35	182.15	1221.5	723.6	286.5	0	0	211.4	0	0
2025	144	2	352.54	77.56	430.1	349.1	81	0	0	0	0	0
2025	145	1	889.21	130.03	1019.24	381.82	339.24	0	0	298.18	0	0
2025	145	2	352.79	77.61	430.4	347.44	82.96	0	0	0	0	0
2025	146	1	1162.28	189.2	1351.48	661.22	388	0	0	302.26	0	0
2025	146	2	347.38	76.42	423.8	347.79	76	0	0	0	0	0.01
2025	147	1	1019.94	168.91	1188.85	602.85	333.85	0	0	252.15	0	0
2025	147	2	361.64	79.56	441.2	328.65	112.55	0	0	0	0	0
2025	148	1	1251.71	217.69	1469.4	662.8	544.4	0	0	262.2	0	0
2025	148	2	332.38	73.12	405.5	370.6	34.9	0	0	0	0	0
2025	149	1	2138.42	396.58	2535	1299.02	900.2	0	0	335.78	0	0
2025	149	2	633.36	139.34	772.7	583	189.7	0	0	0	0	0
2025	150	1	1662.85	295.25	1958.1	1009.21	628.1	0	0	320.79	0	0
2025	150	2	550.49	121.11	671.6	540.3	131.3	0	0	0	0	0
2025	151	1	1869.53	368.37	2237.9	1144.9	897.9	0	0	195.1	0	0
2025	151	2	737.05	162.15	899.2	739.5	159.7	0	0	0	0	0
2025	152	1	944.72	165.18	1109.9	551.1	364.9	0	0	193.9	0	0
2025	152	2	448.2	98.6	546.8	427.2	119.6	0	0	0	0	0
2025	153	1	1344.3	203.68	1547.98	788.12	341.38	0	0	418.48	0	0
2025	153	2	384.1	84.5	468.6	360.08	108.52	0	0	0	0	0
2025	154	1	990.66	165.04	1155.7	564.5	350.7	0	0	240.5	0	0
2025	154	2	363.28	79.92	443.2	356.1	87	0	0	0	0	0.1
2025	155	1	1138.34	177.31	1315.65	447.63	535.65	0	0	332.37	0	0
2025	155	2	352.79	77.61	430.4	289.95	140.45	0	0	0	0	0
2025	156	1	2030.31	404.19	2434.5	1331.9	909.5	0	0	193.1	0	0
2025	156	2	492.62	108.38	601	429.44	171.5	0	0	0	0	0.06
2025	157	1	1429.06	272.94	1702	1041.6	472	0	0	188.4	0	0
2025	157	2	573.52	126.18	699.7	606.35	93	0	0	0	0	0.35
2025	158	1	1186.24	174.76	1361	573.15	396	0	0	391.85	0	0
2025	158	2	470.41	103.49	573.9	445	128.9	0	0	0	0	0
2025	159	1	1022.4	201.3	1223.7	527.6	588.7	0	0	107.4	0	0
2025	159	2	384.02	84.48	468.5	354.4	114	0	0	0	0	0.1
2025	160	1	1296.77	221.53	1518.3	718.66	509.8	0	0	289.84	0	0
2025	160	2	536.23	117.97	654.2	553.7	100.5	0	0	0	0	0
2025	161	1	1064.46	172.74	1237.2	510.7	447.2	0	0	279.3	0	0
2025	161	2	402.38	88.52	490.9	395.8	95.1	0	0	0	0	0
2025	162	1	1234.23	234.37	1468.6	787	512.7	0	0	168.9	0	0
2025	162	2	440.25	96.85	537.1	398.2	138.9	0	0	0	0	0
2025	163	1	1861.91	387.29	2249.2	1263.5	884.2	0	0	101.5	0	0
2025	163	2	450.74	99.16	549.9	458.3	91.6	0	0	0	0	0
2025	164	1	2045.39	394.71	2440.1	1313.73	875.1	0	0	251.27	0	0
2025	164	2	629.26	138.44	767.7	641.8	125.9	0	0	0	0	0
2025	165	1	1274.83	224.87	1499.7	704.1	542.9	0	0	252.7	0	0
2025	165	2	529.43	116.47	645.9	514.2	131.7	0	0	0	0	0
2025	34	1	1177.81	82.64	1260.45	428.6	480.45	0	0	351.4	0	0
2025	34	2	343.55	34.35	377.9	312.25	53.5	0	0	0	0	12.15
2025	35	1	975.43	68.17	1043.6	420.9	329	0	0	293.7	0	0
2025	35	2	377.13	37.71	414.84	348.4	66.4	0	0	0	0	0.04
2025	36	1	1233.31	97.97	1331.28	671.4	406.28	0	0	253.6	0	0
2025	36	2	356.67	35.67	392.34	366	26.3	0	0	0	0	0.04
2025	37	1	1190.75	103.35	1294.1	772.7	364.1	0	0	157.3	0	0
2025	37	2	500.73	50.07	550.8	465.19	85.6	0	0	0	0	0.01
2025	38	1	2645.77	215.03	2860.8	1324.55	1040.8	0	0	495.45	0	0
2025	38	2	927.45	92.75	1020.2	913.46	106.5	0	0	0	0	0.24
2025	39	1	1825.32	134.85	1960.17	948.1	535.27	0	0	476.8	0	0
2025	39	2	868	86.8	954.8	749.4	205	0	0	0	0	0.4
2025	40	1	963.71	75.09	1038.8	572.22	253.8	0	0	212.78	0	0
